siteid,name,f_name,address,f_addr,city,state,zip,COUNTY,date_open,date_close
8102,milam county wic  cameron,aacceilmmmnnoortuy,207 S Houston Ave  PO Box 936,023679bhnoooopux,cameron,tx,76520,milam,NA,1998-10-31T00:00:00Z
8105,milam county wic  rockdale,acciklmmnoortuy,313 North Main,133aimn,rockdale,tx,76567,milam,NA,1998-10-31T00:00:00Z
8407,hempstead wic clinic,adehmp,Hwy 159,159,hempstead,tx,77445,waller,1996-06-15T00:00:00Z,1998-10-31T00:00:00Z
8108,washington county wic  brenham,aaceghhimnnnnoosttuwy,1016 E Horton    PO Box 2329,01122369bhnooooprtx,brenham,tx,77833,washington,NA,1998-10-31T00:00:00Z
8106,burleson county wic  caldwell,abccdeellllnnoorstuuwy,1103R Woodson Drive  PO Box 96,011369bdnoooooprswx,caldwell,tx,77836,burleson,NA,1998-10-31T00:00:00Z
8120,burleson co-somerville rural hlth clinic,abceeehhilllllmnooorrrrsstuuv,Avenue E and 7th Street,7ht,somerville,tx,77879,burleson,NA,1998-10-31T00:00:00Z
5602,pays school,achloopssy,1820 Knickerbocker Rd,0128bcceeikkknorr,san angelo,tx,76904,tom green,NA,1998-11-05T00:00:00Z
9201,scurry county wic,ccnorrstuuyy,911 26th Street,11269ht,snyder,tx,79549,scurry,1995-09-01T00:00:00Z,1998-11-29T00:00:00Z
1711,catholic charities,aacccehhiiilorstt,3520 Montrose,0235emnoorst,houston,tx,77006,harris,1996-01-23T00:00:00Z,1998-12-31T00:00:00Z
2729,ttuhsc high risk clinic,cghhhiikrssttu,36014th Street,01346ht,lubbock,tx,79430,lubbock,1997-10-07T00:00:00Z,1998-12-31T00:00:00Z
2621,dr juan ortega medical clinic,aaacdegijlmnou,3313 Orlando Street,1333loor,houston,tx,77073,harris,1995-11-01T00:00:00Z,1999-01-20T00:00:00Z
5704,ladonia,aadilno,8 Eastside Plaza (City Square),8cdeeiisty,ladonia,tx,75449,fannin,1993-08-01T00:00:00Z,1999-01-21T00:00:00Z
2619,aldine isd  nimitz sr high wic ctr,addeghhiiiiilmnnrsstz,2005 West Thorne Drive,0025ehnort,houston,tx,77073,harris,1995-11-01T00:00:00Z,1999-01-31T00:00:00Z
3408,abilene regional medical clinic,aaabcdeeeegiiilllmnnor,6150 Hwy 83 and 84,01345688,abilene,tx,79606,taylor,1998-01-01T00:00:00Z,1999-02-03T00:00:00Z
509,dos mundos day care,aacdddemnoorssuy,849 Erwin Street,489einrw,corpus christi,tx,78408,nueces,1994-09-01T00:00:00Z,1999-03-01T00:00:00Z
5705,rockwall field office,ackllorw,102 South First Suite B,012fir,rockwall,tx,75087,rockwall,1993-08-01T00:00:00Z,1999-03-31T00:00:00Z
5701,community health service agency inc,aacccceeeeghhiilmmnnorstvyy,3600 Caddo Street,0036acddo,greenville,tx,75401,hunt,NA,1999-03-31T00:00:00Z
5703,bonham wic clinic,abhmno,920 North Center,029,bonham,tx,75418,fannin,1993-08-01T00:00:00Z,1999-03-31T00:00:00Z
5702,commerce clinic,cceemmor,1510 Live Oak,0115aeiklov,commerce,tx,75428,hunt,NA,1999-03-31T00:00:00Z
1719,greenspoint,eegnrs,535 Seminar Apt 321,123355aeimnrs,houston,tx,77060,harris,1997-10-03T00:00:00Z,1999-04-30T00:00:00Z
1720,higher dimension,eeghhiiimnnos,11910 Walters Road,01119alsw,houston,tx,77067,harris,1998-07-24T00:00:00Z,1999-04-30T00:00:00Z
5307,jourdanton wic,ajnnootu,1700 Campbell,0017bell,jourdanton,tx,78026,atascosa,1997-06-04T00:00:00Z,1999-05-01T00:00:00Z
2601,north forest isd wic center,definors,10726 Mesa Drive,01267aems,houston,tx,77078,harris,1993-08-01T00:00:00Z,1999-05-26T00:00:00Z
5423,como multipurpose center,ceilmmooopprstuu,4900 Horne,0049ehnor,fort worth,tx,76107,tarrant,NA,1999-05-28T00:00:00Z
3407,fair park - school for school-aged mothers,aaccdeeffghhhillmoooooorrrssst,1101 South 9th,01119ht,abilene,tx,79602,taylor,NA,1999-05-31T00:00:00Z
5411,grapevine wic clinic,aeeginprv,2703 Mustang Drive,0237agmnu,grapevine,tx,76051,tarrant,NA,1999-06-03T00:00:00Z
322,garden park clinic,aegn,1055 Military Highway,0155aiilmrty,brownsville,tx,78520,cameron,NA,1999-06-11T00:00:00Z
7693,mabank clinic,aabkmn,131 East Market,113aekmrt,mabank,tx,75147,kaufman,1996-02-06T00:00:00Z,1999-06-22T00:00:00Z
2208,waco wic headstart center,aaacdehortw,3221 Speight Avenue,1223eghipst,waco,tx,76711,mclennan,1996-11-01T00:00:00Z,1999-07-01T00:00:00Z
340,harlingen keys academy,aaacdeeeghiklmnnrsyy,2809 North 7th Street,02789ht,harlingen,tx,78550,cameron,NA,1999-07-01T00:00:00Z
4502,cross timbers-goldthwaite,abcdeeghiilmoorrssttw,1219 Parker  Box 158,1112589beorx,goldthwaite,tx,76844,mills,NA,1999-07-31T00:00:00Z
4503,cross timbers-san saba,aaabbceimnorrssss,2005 West Wallace,0025aacellw,san saba,tx,76877,san saba,NA,1999-07-31T00:00:00Z
7660,burnet county wic  burnet,bbceennnorrtttuuuy,8 Oakland St  PO Box 391,1389abklooopx,burnet,tx,78611,burnet,1998-01-01T00:00:00Z,1999-07-31T00:00:00Z
10008,eastridge church of christ,ccehhhirru,1709 Evergreen Street,0179eeeegnrrv,amarillo,tx,79107,potter,1996-05-08T00:00:00Z,1999-07-31T00:00:00Z
7645,groom community center,cgmmoy,200 First Street,002fir,groom,tx,79039,carson,1994-05-01T00:00:00Z,1999-08-01T00:00:00Z
346,lincoln park school,cchillnooos,7 Orange Street,7aegnor,brownsville,tx,78521,cameron,NA,1999-08-02T00:00:00Z
111,travis high school,acghhhiiloorsstv,1211 East Oltorf,1112floort,austin,tx,78704,travis,NA,1999-09-01T00:00:00Z
124,bowie high school,bceghhhiilooosw,4103 West Slaughter,0134aghlsu,austin,tx,78739,travis,1995-03-22T00:00:00Z,1999-09-01T00:00:00Z
127,crockett high school,ccceghhhiklooorstt,5601 Manchaca,0156aaacchmn,austin,tx,78745,travis,1995-09-01T00:00:00Z,1999-09-01T00:00:00Z
2609,downtown wic center,dnnootww,2000 Crawford Suite 1010,00000112acrw,houston,tx,77002,harris,1995-03-15T00:00:00Z,1999-09-29T00:00:00Z
8408,dayton wic clinic,adnoty,2502 North Winfrey,0225efinrwy,dayton,tx,77535,liberty,1996-07-10T00:00:00Z,1999-09-30T00:00:00Z
7627,high plains rural health clinic,aaaeghhhhiillnrrstu,201 Parks,012,claude,tx,79019,armstrong,1994-05-01T00:00:00Z,1999-09-30T00:00:00Z
7637,panhandle site office,aaeehinnpst,500 Main Street,005aimn,panhandle,tx,79068,carson,1994-05-01T00:00:00Z,1999-09-30T00:00:00Z
7634,oldham county clinic,acdhlmnootuy,900 South Main,009aimn,vega,tx,79092,oldham,1994-05-01T00:00:00Z,1999-09-30T00:00:00Z
2728,wic behner place,beehnr,4115 36th Street,113456ht,lubbock,tx,79413,lubbock,1997-02-04T00:00:00Z,1999-09-30T00:00:00Z
5109,edroy,eoy,Our Lady of Guadalupe Church,aaaccddefghhllooprruuuuy,edroy,tx,78352,san patricio,1996-01-01T00:00:00Z,1999-10-01T00:00:00Z
4903,moore clinic,emoor,Community Service Building,cceeimmorsvy,moore,tx,78057,frio,NA,1999-11-30T00:00:00Z
1710,port houston elementary school,aceeehhllmnnoooooprrsttuy,1800 McCarty Road,0018accmrty,houston,tx,77029,harris,1995-02-17T00:00:00Z,1999-12-31T00:00:00Z
6003,headstart wic clinic,aadehrt,3008 Letulle,0038eellltu,bay city,tx,77414,matagorda,1997-09-01T00:00:00Z,1999-12-31T00:00:00Z
119,mobile outreach,acehortu,9411 Parkfield Ste. 320,0112349,austin,tx,78758,travis,1994-07-01T00:00:00Z,1999-12-31T00:00:00Z
3333,housing authority # 2,2aghhiinoorsttuuy,1600 Montana,0016aamnnot,el paso,tx,79902,el paso,1998-10-01T00:00:00Z,1999-12-31T00:00:00Z
3328,housing authority #1,1aghhiinoorsttuuy,1148 Airway Blvd,1148air,el paso,tx,79925,el paso,1997-10-01T00:00:00Z,1999-12-31T00:00:00Z
10010,tyler resource center wic,ceeelorrrstuy,200 South Tyler,002elrty,amarillo,tx,79101,potter,1996-05-08T00:00:00Z,2000-01-01T00:00:00Z
4811,haverstock hill apts center,chhikllors,5619 Aldine Bender,1569adeeilnr,houston,tx,77032,harris,1996-08-28T00:00:00Z,2000-01-31T00:00:00Z
8821,austwell satellite clinic,aaeeeillllsttuw,Bay Street,aby,austwell,tx,77950,refugio,1999-10-19T00:00:00Z,2000-01-31T00:00:00Z
8822,three rivers satellite,aeeeeehiillrrrsstttv,1300 North Harburth Avenue,0013abhhrrtu,three rivers,tx,78071,live oak,1999-11-15T00:00:00Z,2000-01-31T00:00:00Z
8815,rancho alegre satellite clinic,aaaceeeeghilllnorrstt,1010 Beam Station Road,0011abem,alice,tx,78332,jim wells,1999-10-21T00:00:00Z,2000-01-31T00:00:00Z
8816,rachel satellite clinic,aaceeehilllrstt,Highway 281,128,rachael,tx,78353,jim wells,1999-10-18T00:00:00Z,2000-01-31T00:00:00Z
1225,valley aids council,accdiilnosuv,2220 Haine Drive,0222aehin,harlingen,tx,78550,denton,1999-11-01T00:00:00Z,2000-01-31T00:00:00Z
7652,the youth center,ehhottuy,211 North Mintor,112imnort,throckmorton,tx,76483,throckmorton,1995-06-27T00:00:00Z,2000-02-01T00:00:00Z
2905,ft bend family health center-el campo,aaeeffhhilllmotty,601 East Calhoun,016achlnou,el campo,tx,77437,wharton,1996-09-05T00:00:00Z,2000-02-01T00:00:00Z
517,bluntzer country store,bceelnnoorrrttuuyz,Hwy 624 and Hwy 666,246666,bluntzer,tx,78380,nueces,1993-11-01T00:00:00Z,2000-02-01T00:00:00Z
7657,roby clinic,bory,108 South Concho,018cchnoo,roby,tx,79543,fisher,1996-08-12T00:00:00Z,2000-02-01T00:00:00Z
8954,saint leos church,accehhilnorsstu,123  Octavia,123aaiov,san antonio,tx,78214,bexar,1997-01-21T00:00:00Z,2000-02-16T00:00:00Z
8814,sandia satellite clinic,aaeeiillsstt,Corner Hwy 359 and  Farm Rd 15,13559af,sandia,tx,78383,jim wells,1999-10-21T00:00:00Z,2000-02-29T00:00:00Z
8920,fox-tech high school,ccefghhhhilooostx,637 North Main,367aimn,san antonio,tx,78205,bexar,1994-09-13T00:00:00Z,2000-03-07T00:00:00Z
5433,jps clinic,jps,3308 Deen Road,0338deen,fort worth,tx,76106,tarrant,1998-10-29T00:00:00Z,2000-04-18T00:00:00Z
2610,wic program-b t hollins,abghillmnooprrst,2105 Jackson Suite 100,0001125acjknos,houston,tx,77003,harris,1995-06-15T00:00:00Z,2000-04-30T00:00:00Z
5305,saint rose of lima-wic,aaeiimnoorsst,333 Madero,333ademor,charlotte,tx,78011,atascosa,1997-02-03T00:00:00Z,2000-05-01T00:00:00Z
5306,atascosa health clinic #6,6aaaacehhlosstt,333 Madero,333ademor,charlotte,tx,78011,atascosa,1997-02-03T00:00:00Z,2000-05-01T00:00:00Z
5303,poteet wic clinic,eeoptt,School Drive and 7th Street,7chhloost,poteet,tx,78065,atascosa,1995-06-19T00:00:00Z,2000-05-01T00:00:00Z
7713,alabama-coushatta indian reservation,aaaaaaaabcdeehiiilmnnnoorrsstttuv,Rt 3/ Box 640,0346bortx,livingston,tx,77951,polk,1996-06-13T00:00:00Z,2000-05-05T00:00:00Z
8729,frankston wic clinic,afknnor,100 Commerce Street,001cceemmor,frankston,tx,75763,anderson,1994-04-07T00:00:00Z,2000-05-19T00:00:00Z
1223,haggars wic clinic,aagghrs,1407 East Freddy Gonzales,0147addeefglnorsyz,edinburg,tx,78539,hidalgo,1998-04-15T00:00:00Z,2000-06-01T00:00:00Z
7647,champs academy school,aaacccdehhlmmoopssy,308 South Ridgeland,038,fritch,tx,79036,hutchinson,1994-10-12T00:00:00Z,2000-06-01T00:00:00Z
9102,pediatric health center,aacdeehhiilprtt,8210 Walnut Hill Suite 805,0012588ahilltuw,dallas,tx,75231,dallas,1996-07-14T00:00:00Z,2000-07-01T00:00:00Z
9103,chcc inc,cccchin,2121 Northwest Hwy Suite 103,0111223nw,garland,tx,75241,dallas,1999-11-01T00:00:00Z,2000-07-01T00:00:00Z
1106,hitchcock community center,cccchhikmmooty,7801 Burns Street,0178bnrsu,hitchcock,tx,77563,galveston,1996-07-08T00:00:00Z,2000-07-28T00:00:00Z
1803,pawnee wic satellite,aaeeeeillnpsttw,Corner of Hwy 72 S and FM 673,23677ffmo,pawnee,tx,78145,bee,NA,2000-07-30T00:00:00Z
3309,clint wic clinic,cilnt,Hwy 80 San Elizario Road,08aaeiilnorsz,clint,tx,79836,el paso,NA,2000-07-31T00:00:00Z
10402,community clinic wic-kingsland,cgiklmmnosy,Hwy 1431 West,1134,kingsland,tx,78639,llano,1998-02-26T00:00:00Z,2000-08-25T00:00:00Z
8819,holiday beach satellite clinic,aadeehiilllostty,#1 Saint Charles Loop,1aacehillnooprsst,rockport,tx,78382,aransas,1999-10-14T00:00:00Z,2000-08-30T00:00:00Z
5420,northside multipurpose center,deeiilmnopprsstuu,101 Northeast 21st Street,01112en,fort worth,tx,76106,tarrant,NA,2000-08-31T00:00:00Z
7654,quitaque wic clinic (catholic center),aaccehiiloqqttuu,303 Tunnel,033elnntu,quitaque,tx,79225,briscoe,1996-06-01T00:00:00Z,2000-09-01T00:00:00Z
1222,delta rural health center,aaadeehhlllrrttu,223 Santa Rosa,223aaanorsst,edcouch,tx,78538,hidalgo,1998-05-08T00:00:00Z,2000-09-05T00:00:00Z
2631,west 34th street center  #34 wic center,3344htw,1100 West 34th Street,001134ht,houston,tx,77018,harris,1998-10-16T00:00:00Z,2000-09-30T00:00:00Z
2629,gpjc-galena park  jacinto city wic,aaaccceggiijjlnnoptty,1313 Holland Avenue  Suite A,1133hllo,galena park,tx,77547,harris,1998-02-26T00:00:00Z,2000-09-30T00:00:00Z
10101,boerne wic clinic,beenor,114 Trade Avenue,114adert,boerne,tx,78006,kendall,1996-11-01T00:00:00Z,2000-09-30T00:00:00Z
10102,comfort clinic,cfmoort,305 5th Street,0355ht,comfort,tx,78013,kendall,1996-11-01T00:00:00Z,2000-09-30T00:00:00Z
2013,plainview health department,aaeehhiilntvw,111 East 10th,01111ht,plainview,tx,79072,hale,1995-11-17T00:00:00Z,2000-09-30T00:00:00Z
2726,wic idalou,adilou,113 Walnut Street,113atuw,idalou,tx,79329,lubbock,1994-10-01T00:00:00Z,2000-10-05T00:00:00Z
2706,wic sundown community center,cdmmnnoosuwy,302 East Cragin,023acginr,sundown,tx,79372,hockley,NA,2000-10-05T00:00:00Z
4812,northshore high school p e p center,ceeghhhhilnooopprss,13601  Woodforest,01136defooorw,houston,tx,77013,harris,1996-10-08T00:00:00Z,2000-10-18T00:00:00Z
7303,kelly air force base,aabceeefikllorrsy,Base Chapel,aabceehlps,san antonio,tx,78241,bexar,1995-12-01T00:00:00Z,2000-10-30T00:00:00Z
8913,av lincoln,acilnov,381 Mickle John,138cehijklmno,san antonio,tx,78207,bexar,1994-09-05T00:00:00Z,2000-11-01T00:00:00Z
8960,banyon tree apartments,abeennorsty,8150 Cross Creek,0158corss,san antonio,tx,78218,bexar,1997-07-08T00:00:00Z,2000-11-01T00:00:00Z
8945,points east apts,ess,3735 East Commerce,3357cceemmor,san antonio,tx,78219,bexar,1995-09-01T00:00:00Z,2000-11-01T00:00:00Z
8915,av southside,adeissv,114 West Vestal,114aelv,san antonio,tx,78224,bexar,1994-10-03T00:00:00Z,2000-11-01T00:00:00Z
8933,jose cardanas center,aaacejnoss,3300 Ruiz,0033iruz,san antonio,tx,78228,bexar,1994-10-05T00:00:00Z,2000-11-01T00:00:00Z
8907,marshall high school,aacghhhhilllmoorss,8000 Lobo Lane,0008bloo,san antonio,tx,78240,bexar,1994-09-05T00:00:00Z,2000-11-01T00:00:00Z
8936,james madison high school,aacdeghhhiijlmmnooosss,5005 Stahl Road,0055ahl,san antonio,tx,78247,bexar,1994-10-31T00:00:00Z,2000-11-01T00:00:00Z
3325,hospitals,ahilopsst,1148 Airway Blvd,1148air,el paso,tx,79925,el paso,1996-04-01T00:00:00Z,2000-11-01T00:00:00Z
5210,old dogan learning center,aaddeggillnnnoor,920 Bateman,029aabemnt,fairfield,tx,75840,freestone,NA,2000-11-30T00:00:00Z
5211,cause inc wic-teague,aaceeeginsuu,1200 East  Loop 255,0012255loop,teague,tx,75860,freestone,1995-12-15T00:00:00Z,2000-11-30T00:00:00Z
5208,clifton clinic,cfilnot,702 South Avenue G,027,clifton,tx,76634,bosque,NA,2000-11-30T00:00:00Z
5206,groesbeck civic center,bccceegiikorsv,J B Riggs Street,ggirs,groesbeck,tx,76642,limestone,NA,2000-11-30T00:00:00Z
5201,hillsboro clinic,bhilloors,308 East Elm Street,038elm,hillsboro,tx,76645,hill,NA,2000-11-30T00:00:00Z
5212,cause inc wic,acceinsu,203 North 2nd Street,0223dn,hubbard,tx,76648,hill,1996-11-07T00:00:00Z,2000-11-30T00:00:00Z
5205,mexia clinic,aeimx,401 North Bailey Street,014abeily,mexia,tx,76667,limestone,NA,2000-11-30T00:00:00Z
5207,meridian clinic,adeiimnr,201 North 1st Street,0112,meridian,tx,78653,bosque,1997-06-09T00:00:00Z,2000-11-30T00:00:00Z
2014,plainview high school,aceghhhiiilnoosvw,1501 Quincy Street,0115cinquy,plainview,tx,79072,hale,1996-11-01T00:00:00Z,2000-12-06T00:00:00Z
3913,university of texas health center of tyler,aaeeeeffhhiillnoorrssttttuvxyy,Hwy 271,127,tyler,tx,75710,smith,1996-10-02T00:00:00Z,2000-12-15T00:00:00Z
3602,the lockhart clinic,acehhklortt,214 West San Antonio,124aainnnoost,lockhart,tx,78644,caldwell,NA,2000-12-31T00:00:00Z
10299,etmc moblle,bceellmmot,712 North Wood,127doow,gilmer,tx,75644,upshur,2000-04-01T00:00:00Z,2001-01-01T00:00:00Z
10401,llano memorial hospital dba community clinic,aaaabcdehiillllmmmmnooooprsty,2112 Hwy 1431  Suite 5,111122345,kingsland,tx,78639,llano,1998-01-15T00:00:00Z,2001-01-31T00:00:00Z
736,healthcare for women-dallas southwest,aaaacdeeefhhlllmnoorrsstww,3247 Dawes Drive,2347adesw,dallas,tx,75211,dallas,2000-09-25T00:00:00Z,2001-04-30T00:00:00Z
1808,poesta creek wic satellite,aaeeeillopstt,1301 South Tyler Street,0113elrty,beeville,tx,78102,bee,1995-05-01T00:00:00Z,2001-05-01T00:00:00Z
3616,wimberly wic,beilmrwy,"Rt. 2, Box 118-F",1128bortx,wimberly,tx,78676,hays,1994-02-08T00:00:00Z,2001-05-01T00:00:00Z
4810,galena park p e p center,aaeeglnpp,1721 16th Street,111267ht,galena park,tx,77547,harris,1996-10-03T00:00:00Z,2001-05-09T00:00:00Z
8817,bayside satellite clinic,aabdeeeiillsstty,909 1st Street,0199,bayside,tx,78340,refugio,1999-10-14T00:00:00Z,2001-05-31T00:00:00Z
8813,riviera satellite clinic,aaeeeiiillrrsttv,1011 East Henrietta,0111aeehinrtt,kingsville,tx,78363,kleberg,1996-06-15T00:00:00Z,2001-05-31T00:00:00Z
8820,sarita satellite clinic,aaaeeiillrssttt,Sarita Courthouse,aaehiorsstu,sarita,tx,78385,kenedy,1999-10-18T00:00:00Z,2001-05-31T00:00:00Z
8818,woodsboro satellite clinic,abdeeilloooorssttw,3115 Pugh Street,1135ghpu,woodsboro,tx,78393,refugio,1999-10-14T00:00:00Z,2001-05-31T00:00:00Z
307,healthy wic clinic,aehhlty,5235 Southmost Road,2355mos,brownsville,tx,78520,cameron,1997-09-01T00:00:00Z,2001-05-31T00:00:00Z
715,bluitt-flowers clinic,bfilsttu,303 Overton Road,033enoortv,dallas,tx,75216,dallas,NA,2001-07-10T00:00:00Z
8405,hull clinic,hllu,Hwy 834,348,hull,tx,77564,liberty,1994-03-16T00:00:00Z,2001-08-31T00:00:00Z
123,del valle high school (alternative learning center,aaaacdeeeegghhhiiillllllnnnoorstvv,311 FM 973 South,113379fm,del valle,tx,78617,travis,1995-03-08T00:00:00Z,2001-09-01T00:00:00Z
4112,isom clinic,imos,722-C Isom Road,227imos,san antonio,tx,78216,bexar,1996-08-15T00:00:00Z,2001-09-17T00:00:00Z
4819,galena park community center,aaceglmmnoy,1508 Hunter,0158hnu,galena park,tx,77547,harris,1998-04-27T00:00:00Z,2001-09-30T00:00:00Z
911,san isidro wic clinic,aiinoss,FM Road 2360 Off Hwy 83,023368fffmo,san isidro,tx,78588,starr,1999-04-01T00:00:00Z,2001-10-01T00:00:00Z
9401,medical center family health center,aaacdeefhhiilllmmty,602 East 7th,0267ht,odessa,tx,79761,ector,1996-01-23T00:00:00Z,2001-12-07T00:00:00Z
3212,calvert wic clinic,acelrtv,1000 Brown Street,0001now,hearne,tx,77859,robertson,1997-03-07T00:00:00Z,2001-12-15T00:00:00Z
2665,h p carter wic center,achpr,1700 Gregg,0017egggr,houston,tx,77020,harris,NA,2001-12-31T00:00:00Z
524,the womens clinic,eehmnostw,PO Box 3368,3368boopx,corpus christi,tx,78463,nueces,2000-09-14T00:00:00Z,2002-01-01T00:00:00Z
4817,mission greenspoint wic center,eegiimnnorsss,16134 West Hardy Road,11346ahy,houston,tx,77060,harris,1997-09-16T00:00:00Z,2002-02-15T00:00:00Z
3214,university apartments,eiinrsstuvy,Community Council Room,cccilmmnoouy,college station,tx,778433365,brazos,1997-03-18T00:00:00Z,2002-02-28T00:00:00Z
5609,goodfellow air force base-pediatric clinic,aaabccddeeeeffgiiillooooprrrstw,271 Fort Richardson Avenue,127acfhinoorrst,gafb,tx,76908,tom green,1996-09-03T00:00:00Z,2002-03-21T00:00:00Z
8720,emory wic satellite clinic,aeeeillmorstty,Rose Community Center,cemmoorsy,emory,tx,75440,rains,NA,2002-04-05T00:00:00Z
2614,kashmere multi-service ctr wic ctr,aceeeehiiklmmrrsstuv,4802 Lockwood No 115,0112458cdklnoooow,houston,tx,77026,harris,NA,2002-04-30T00:00:00Z
2608,riverside health center-wic center,adeeehhiilrrstv,8000 NORTH STADIUM DRIVE,0008adimu,houston,tx,77054,harris,1994-07-05T00:00:00Z,2002-04-30T00:00:00Z
10301,"longview neighborhood clinics,inc - wic",bcdeegghhiiilnnnoooorsvw,1202 North 6th Street,01226ht,longview,tx,75601,gregg,1998-01-02T00:00:00Z,2002-05-01T00:00:00Z
