siteid,name,f_name,street_address,f_addr,city,state,zipcode,county_name,phone,toll_free,fax,email,website,hours,live_chat_url,latitude,longitude,is_mobile
708,grand prairie clinic,aegiiprrr,828 S Carrier Parkway Suite 100,001288aceirrr,grand prairie,tx,75051,dallas,214-670-7200,NA,214-670-6462,Askwic@Dallascityhall.Com,NA,Mon-Fri | 7:30-4:30,https://texaswic.org/about-wic/live-chat-with-wic?la=007,32.7357299,-97.0155,NO
5403,arkansas wic clinic - in person services-,aaaceeeiiknnnoprrrsssssv,2596 East Arkansas Ln Suite 180,0125689aaaknrss,arlington,tx,76014,dallas,817-321-5400,NA,817-548-3968,NA,https://www.tarrantcountytx.gov/en/public-health/family-health-services/wic-program.html,Mon/Tue/Wed/Thu/Fri | 9:00-6:00 Lunch 1:00-2:00 && 2nd Sat | 8:00-5:00 Lunch 12:00-1:00 && Mon after Saturday hours | Closed && Saturdays may vary based on holidays,NA,32.704617,-97.064153,NO
5439,south east green oaks - in person services-,aceeeeeegiiknnnooprrrsssssv,"2001 South East Green Oaks Blvd, Suite 150",0001125aeegknors,arlington,tx,76018,dallas,817-321-5400,NA,817-375-6172,NA,https://www.tarrantcountytx.gov/en/public-health/family-health-services/wic-program.html,Mon/Tue/Wed/Thu/Fri | 9:00-6:00 Lunch 1:00-2:00 && 2nd Sat | 8:00-5:00 Lunch 12:00-1:00 && Mon after Saturday hours | Closed && Saturdays may vary based on holidays,NA,32.65581,-97.07568,NO
5410,euless wic clinic -in person services-,ceeeeeiilnnoprrsssssuv,417 West Euless Blvd Ste 200,001247eelssu,euless,tx,76040,NA,817-321-5400,NA,817-850-2914,NA,https://www.tarrantcountytx.gov/en/public-health/family-health-services/wic-program.html,Mon/Tue/Wed/Thu/Fri | 9:00-6:00 Lunch 1:00-2:00 && 2nd Sat | 8:00-5:00 Lunch 12:00-1:00 && Mon after Saturday hours | Closed && Saturdays may vary based on holidays,NA,32.83444,-97.08888,NO
7101,collin county health care services,aacccceeeehhiilllnnoorrssttuvy,"825 N McDonald St , Suite 120",012258acddlmno,mckinney,tx,75069,collin,972-548-5543,NA,972-548-5552,mckinneywic@co.collin.tx.us,https://www.collincountytx.gov/Services/Health-Care-Services/wic-program,Mon/Wed | 8:00-500 && Tue/Thu | 8:00-5:30 && Fri | 8:00-1:00,NA,33.20532,-96.61311,NO
1003,grayson wic mobile,agnorsy,515 N Walnut St,155atuw,sherman,tx,75090,grayson,903-818-5511,NA,NA,NA,NA,Tue of Second Full Week of Each Month  |  8:00am-12:30pm  &&  4th Tuesday of Each Month  |  2:00pm-5:30pm,NA,33.64116,-96.60888,NO
1001,grayson county health department,aaceghhlnnoorsttuyy,515 North Walnut,155atuw,sherman,tx,75090,grayson,903-893-0131,NA,903-892-3776,NA,NA,Mon/Tue/Wed/Thu | 8:00-7:00  Lunch 1:00-2:00 && First working day of the frst week of the month | 5:00-7:00 && 3rd Thu | 2:00-7:00 && Fri | 8:00-1:00,NA,33.64116,-96.60888,NO
3910,canton wic,acnnot,301 E State Hwy 243 Ste 107,001123347aet,canton,tx,75103,van zandt,903-567-6732,NA,903-567-6732,NA,NA,Mon | 10:00-7:00  &&  Tue/Wed/Thu/Fri | 8:30-5:30,https://texaswic.org/about-wic/live-chat-with-wic?la=039,32.54365,-95.85961,NO
730,duncanville,acdeillnnuv,1110 South Sante Fe Trail Ste,0111aeefnst,duncanville,tx,75137,dallas,214-670-7200,NA,214-670-0526,Askwic@Dallascityhall.Com,NA,Mon-Fri | 7:30-4:30,https://texaswic.org/about-wic/live-chat-with-wic?la=007,32.6405699,-96.91931,NO
6701,corsicana-navarro wic,aaaacinnorrv,219 W Sixth Ave,129histx,corsicana,tx,75110,navarro,903-872-6743,NA,903-872-3213,abarajas@navarrohealth.com,https://navarrocountypublichealthdistr.godaddysites.com,Mon/Tue/Wed/Thu | 7:30-6:00 Lunch 12-12:30 && Fri | 7:30-12:00 && 3rd Sat | 7:30-11:30,NA,32.09159,-96.46484,NO
9003,lbu wic,blu,4732 W Illinois Ave,2347iiillnos,dallas,tx,75211,dallas,214-761-0959,NA,NA,NA,NA,Mon - Thu | 7:30-6:00 && Fri | 7:30-4:00,NA,32.719395,-96.902252,NO
725,ledbetter clinic,bdeelt,1111 W Ledbetter St Suite 600,0011116bdeelt,dallas,tx,75224,dallas,214-670-7200,NA,214-670-7533,Askwic@Dallascityhall.Com,NA,Mon-Thu | 7:30-6:00 && Fri | 7:30-4:30 && Sat | 7:30-4:00,https://texaswic.org/about-wic/live-chat-with-wic?la=007,32.69244,-96.84059,NO
13191,ennis wic,einns,"2604 N Kaufman St, Suite C",0246aafkmnu,ennis,tx,75119,ellis,972-875-0285,NA,NA,Wictx@Spcaa.Org,https://www.spcaawic.org/,Mon/Tue/Wed | 9:00-6:00  Lunch 12:30-1:30 && 1st Wed | Closed && Thu | 7:00-4:00 Lunch 11:30-12:30,https://texaswic.org/about-wic/live-chat-with-wic?la=130-131,32.3524699,-96.63292,NO
710,highland hills wic clinic,ghhhiillls,3624 Simpson Stuart Rd,2346aimnoprsstu,dallas,tx,75241,dallas,214-670-7200,NA,214-670-7442,Askwic@Dallascityhall.Com,NA,Mon/Tue/Fri | 8:00-4:30,https://texaswic.org/about-wic/live-chat-with-wic?la=007,32.67372,-96.75974,NO
13150,kaufman wic,aafkmnu,"100 Old Rail Rd, Suite E",001adillor,kaufman,tx,75142,kaufman,972-932-1961,NA,972-932-1961,Wictx@Spcaa.Org,https://www.spcaawic.org/,Mon/Tue/Wed | 9:00-6:00 Lunch 12:30-1:30 && 1st Wed | Closed && Thu | 7:00-4:00 Lunch 11:30-12:30,https://texaswic.org/about-wic/live-chat-with-wic?la=130-131,32.5888203,-96.3028975,NO
726,buckner/john west clinic,bcehjknnoruw,3302 North Buckner Suite 130,0012333bceknru,dallas,tx,75228,dallas,214-670-7200,NA,214-670-0937,Askwic@Dallascityhall.Com,NA,Mon-Thu | 7:30-6:00 && Fri | 7:30-4:30 && Sat | 7:30-4:00,https://texaswic.org/about-wic/live-chat-with-wic?la=007,32.8058609,-96.6822331,NO
3925,gun barrel city wic clinic,abcegilnrrtuy,1901 W Main St,0119aimn,gun barrel city,tx,75156,henderson,903-887-0212,NA,903-887-0905,NA,NA,Mon | 10:00-7:00  &&  Tue/Wed/Thu/Fri | 8:30-5:30,https://texaswic.org/about-wic/live-chat-with-wic?la=039,32.330471,-96.146605,NO
13155,terrell wic,ellr,310 E Nash St,013ahns,terrell,tx,75160,kaufman,972-551-2121,NA,NA,Wictx@Spcaa.Org,https://www.spcaawic.org/,Mon/Tue/Wed | 9:00-6:00  Lunch 12:30-1:30 && 1st Wed | Closed && Thu | 7:00-4:00 Lunch 11:30-12:30,https://texaswic.org/about-wic/live-chat-with-wic?la=130-131,32.7369413,-96.2743365,NO
13190,waxahachie wic,aaacehhiwx,110 Amanda Ln,011aam,waxahachie,tx,75165,ellis,972-937-4777,NA,NA,Wictx@Spcaa.Org,https://www.spcaawic.org/,Mon/Tue/Wed | 9:00-6:00  Lunch 12:30-1:30 && 1st Wed | Closed && Thu | 7:00-4:00 Lunch 11:30-12:30,https://texaswic.org/about-wic/live-chat-with-wic?la=130-131,32.4210493,-96.8518989,NO
9001,los barrios unidos wic services,abcdeeiiilnooorrrsssssuv,809 Singleton Blvd,089egilnnost,dallas,tx,75212,dallas,214-761-0956,NA,214-651-9514,NA,NA,Mon - Thu | 7:30-6:00 && Fri | 7:30-4:00,NA,32.77901,-96.8364,NO
701,martin luther king jr clinic,aeghiijklmnnrrrttu,2922-B MLK Jr Blvd,2229jklmr,dallas,tx,75215,dallas,214-670-7200,NA,214-670-8542,Askwic@Dallascityhall.Com,NA,Mon-Fri | 7:30-4:30,https://texaswic.org/about-wic/live-chat-with-wic?la=007,32.76947,-96.76609,NO
742,fruitdale wic clinic,firtu,4408 Vandervort Dr,0448eorrtvv,dallas,tx,75216,dallas,214-670-7200,NA,NA,Askwic@Dallascityhall.Com,NA,Wed/Thu | 8:00-4:30,NA,32.70951,-96.76005,NO
703,westmoreland clinic,elmorw,1050 North Westmoreland Suite 316,0011356elmorw,dallas,tx,75211,dallas,214-670-7200,NA,214-337-1355,Askwic@Dallascityhall.Com,NA,Mon-Fri | 7:30-4:30,https://texaswic.org/about-wic/live-chat-with-wic?la=007,32.7346741,-96.8740551,NO
737,abrams road clinic,aams,6012 Abrams Rd Ste 150,0011256aams,dallas,tx,75231,dallas,214-670-7200,NA,214-939-2280,Askwic@Dallascityhall.Com,NA,Mon-Fri | 7:30-4:30,https://texaswic.org/about-wic/live-chat-with-wic?la=007,32.85775,-96.74767,NO
743,healing hands ministries,aeeghhiiiilmnnrss,"5750 Pineland Dr, Suite #326",0235567eilnp,dallas,tx,75231,dallas,214-670-7200,NA,NA,askWIC@Dallas.gov,NA,Tue | 8:00-4:00 && Thu | 12:00-4:00,NA,32.87792,-96.75817,NO
705,lake june clinic,aeejklnu,6925 Lake June Road,2569aeejklnu,dallas,tx,75217,dallas,214-670-7200,NA,214-670-8224,Askwic@Dallascityhall.Com,NA,Mon-Thu | 7:30-6:00 && Fri | 7:30-4:30 && Sat | 7:30-4:00,https://texaswic.org/about-wic/live-chat-with-wic?la=007,32.7345349,-96.7027414,NO
13163,greenville wic,eeegillnrv,"4907 Stonewall St, Suite C",0479aellnow,greenville,tx,75401,hunt,903-454-4888,NA,NA,Wictx@Spcaa.Org,https://www.spcaawic.org/,Mon/Wed | 9:00-6:00  Lunch 1:00-2:00 && 1st Wed | Closed && Tue/Thu | 7:00-4:00 Lunch 1:00-2:00,https://texaswic.org/about-wic/live-chat-with-wic?la=130-131,33.12184,-96.10691,NO
13166,bonham wic,abhmno,1205 Broadfoot St,0125bfoot,bonham,tx,75418,fannin,903-705-3995,NA,NA,Wictx@Spcaa.Org,https://www.spcaawic.org/,1st Mon/3rd Wed | 10:00-4:30 Lunch 1:00-2:00,https://texaswic.org/about-wic/live-chat-with-wic?la=130-131,33.58542,-96.18706,NO
3922,clarksville wic clinic,aceiklllrsv,1608 East Main St Ste A,0168aimn,clarksville,tx,75426,red river,903-427-1563,NA,903-427-1964,NA,NA,Mon | 9:00-6:00  &&  Wed | 9:30-4:30,https://texaswic.org/about-wic/live-chat-with-wic?la=039,33.6124788,-95.0374431,NO
13165,commerce wic,cceemmor,"100 Kings Plaza, Suite F",001gikns,commerce,tx,75428,hunt,903-886-1288,NA,NA,Wictx@Spcaa.Org,https://www.spcaawic.org/,Mon/Wed | 9:00-6:00 Lunch 1:00-2:00 && 1st Wed | Closed && Tue/ Thu | 7:00-4:00 Lunch 1:00-2:00 && 1st/3rd Tue | Closed,https://texaswic.org/about-wic/live-chat-with-wic?la=130-131,33.2362,-95.90777,NO
3921,mount pleasant clinic,aaemnnosttu,2001 W Ferguson Rd Ste 3010,00001123efgnorsu,mt pleasant,tx,75455,titus,903-572-9879,NA,--,NA,NA,Mon | 10:00-7:00  &&  Tue/Wed/Thu/Fri | 8:30-5:30,https://texaswic.org/about-wic/live-chat-with-wic?la=039,33.1592,-94.98882,NO
6201,paris-lamar county health department,aaaehhillmnoprsttuy,400 W Sherman St,004aehns,paris,tx,75460,lamar,903-784-1411,NA,903-784-1442,CarlaR@suddenlinkmail.com,NA,Mon-Thu |  7:00am - 6:00pm,NA,33.6573449,-95.5603171,NO
13178,quinlan wic,ailnnqu,401 Panther Path,014aaehhnpprtt,quinlan,tx,75474,hunt,903-363-4543,NA,NA,Wictx@Spcaa.Org,https://www.spcaawic.org/,1st/3rd Tue | 8:00-3:00 Lunch 1:00-2:00,https://texaswic.org/about-wic/live-chat-with-wic?la=130-131,32.9178251,-96.1291037,NO
3923,sulphur springs clinic,gilnprrsssuu,"1335 Shannon Road East, Suite A",1335ahnnnos,sulphur springs,tx,75482,hopkins,903-885-2813,NA,903-885-7897,NA,NA,Mon | 10:00-7:00  &&  Tue/Wed/Thu/Fri | 8:30-5:30,https://texaswic.org/about-wic/live-chat-with-wic?la=039,33.1396,-95.569327,NO
6501,texarkana-bowie county clinic,aaabceeiknnoorttuwxy,"In Person Services, 902 West 12Th Street",01229ceeehiinnoprrssstv,texarkana,tx,75501,bowie,903-798-3250,NA,903-278-7078,Kristi.kilgore@texarkanatexas.gov,NA,Mon/Tue/Wed/Thu | 7:00-6:00 Lunch 12:00-1:00,NA,33.42946,-94.05261,NO
3915,atlanta wic clinic,aaalntt,211 North Pinecrest Drive Suit,112ceeiinprstu,atlanta,tx,75551,cass,903-799-5298,NA,903-799-5579,NA,NA,Mon | 10:00-7:00  &&  Tue/Wed/Thu/Fri | 8:30-5:30,https://texaswic.org/about-wic/live-chat-with-wic?la=039,33.1063222,-94.1805415,NO
10801,"longview wellness ctr,inc dba wellness pointe",abcdeeeeeegiilllnnossssvwww,2430 S High St Suite C1,01234cghhi,longview,tx,75602,gregg,903-212-4835,NA,903-757-2142,NA,https://www.wellnesspointe.org/,Mon/Tue/Wed | 7:00-5:30 && 2nd Wed | 9:00-5:30 && Thu | 7:00-7:00 && Fri | 7:00-12:00 && 2nd Sat | 7:30-12:30,NA,32.4626,-94.73237,NO
3919,carthage wic clinic,aaceghrt,446 West Sabine,446abeins,carthage,tx,75633,panola,903-693-9331,NA,903-693-8592,NA,NA,Mon | 10:00-7:00  &&  Tue/Wed/Fri | 8:30-5:30 && Thu | Closed,https://texaswic.org/about-wic/live-chat-with-wic?la=039,32.1556138,-94.3455604,NO
3908,daingerfield wic,adeginr,1402-B Linda Drive,0124adiln,daingerfield,tx,75638,morris,903-645-2005,NA,903-645-4845,NA,NA,Tue/Thu/Fri | 8:30-5:30,https://texaswic.org/about-wic/live-chat-with-wic?la=039,33.01525,-94.72037,NO
3907,gilmer wic,egilmr,100 Buffalo St,001abfflou,gilmer,tx,75644,upshur,903-843-7561,NA,903-843-1132,NA,NA,Mon | 10:00-7:00  &&  Tue/Wed/Thu/Fri | 8:30-5:30,https://texaswic.org/about-wic/live-chat-with-wic?la=039,32.729856,-94.944969,NO
3920,henderson wic clinic,deehnnors,1115 Hwy 259 S Ste D,1112559,henderson,tx,75654,rusk,903-657-5056,NA,903-655-6467,NA,NA,Mon | 10:00-7:00  &&  Tue/Wed/Thu/Fri | 8:30-5:30,https://texaswic.org/about-wic/live-chat-with-wic?la=039,32.1418238,-94.7888884,NO
3917,jefferson wic clinic,eeffjnors,1113 N Walcott,1113aclottw,jefferson,tx,75657,marion,903-665-9266,NA,903-665-9316,NA,NA,Tue/Thu/Fri | 8:30-5:30,https://texaswic.org/about-wic/live-chat-with-wic?la=039,32.7715847,-94.3555087,NO
10803,"longview wellness ctr,inc dba wellness pointe",abcdeeeeeegiilllnnossssvwww,1711 South Henderson Suite 500,0011157deehnnors,kilgore,tx,75662,gregg,903-212-4855,NA,903-986-3422,NA,https://www.wellnesspointe.org/,Mon/Tue/Wed | 7:00-6:00 && 2nd Wed | 9:30-6:00 && Thu | 7:00-6:00 && 3rd Sat | 7:30-12:30,NA,32.37318,-94.87002,NO
3918,marshall wic clinic,aahllmrs,310 East Bowie,013beiow,marshall,tx,75670,harrison,903-935-1781,NA,903-935-0476,NA,NA,Mon | 10:00-7:00  &&  Tue/Wed/Thu/Fri | 8:30-5:30,https://texaswic.org/about-wic/live-chat-with-wic?la=039,32.54386,-94.36465,NO
3914,family care center - wic,aacefilmry,"225 E. Amherst St, Ste 800",002258aehmr,tyler,tx,75701,smith,(903) 533-1319,NA,NA,NA,NA,Mon | 10:00-7:00  &&  Tue/Wed/Thu/Fri | 8:30-5:30,https://texaswic.org/about-wic/live-chat-with-wic?la=039,32.311775,-95.300009,NO
3904,tyler wic clinic,elrty,815 North Broadway,158,tyler,tx,75701,smith,903-592-7635,NA,903-592-8442,NA,NA,Mon | 10:00-7:00  &&  Tue/Wed/Thu/Fri | 8:30-5:30,https://texaswic.org/about-wic/live-chat-with-wic?la=039,32.35871,-95.30049,NO
3926,athens wic clinic,aehnst,1212 S Palestine St,1122aeeilnp,athens,tx,75751,henderson,903-677-2400,NA,--,NA,NA,Mon | 10:00-7:00  &&  Tue/Wed/Thu/Fri | 8:30-5:30,https://texaswic.org/about-wic/live-chat-with-wic?la=039,32.18148,-95.84994,NO
3902,jacksonville wic clinic,aceijkllnosv,335 Neches St,335ceehns,jacksonville,tx,75766,cherokee,903-589-0734,NA,903-586-6124,NA,NA,Mon | 10:00-7:00  &&  Tue/Wed/Thu/Fri | 8:30-5:30,https://texaswic.org/about-wic/live-chat-with-wic?la=039,31.96246,-95.26911,NO
3903,lindale wic clinic,iln,402 West Hubbard,024abbhu,lindale,tx,75771,smith,903-592-7635,NA,--,NA,NA,Thu | 9:30-4:30 && Thu | Cell Number Available : (903)360-3128,https://texaswic.org/about-wic/live-chat-with-wic?la=039,32.5159499,-95.40503,NO
3909,quitman wic,aimnqtu,1020 East Goode Street,0012degoo,quitman,tx,75783,wood,903-763-4123,NA,903-763-3203,NA,NA,Mon | 10:00-7:00  &&  Tue/Wed/Thu/Fri | 8:30-5:30,https://texaswic.org/about-wic/live-chat-with-wic?la=039,32.79517,-95.43264,NO
3924,palestine clinic,aeeilnp,305 East Lacy St Ste 130,001335acly,palestine,tx,75801,anderson,903-729-2310,NA,903-729-2762,NA,NA,Mon | 10:00-7:00  &&  Tue/Wed/Thu/Fri | 8:30-5:30,https://texaswic.org/about-wic/live-chat-with-wic?la=039,31.76568,-95.62915,NO
13307,buffalo wic clinic,abfflou,942 North Hill St,249hill,buffalo,tx,75831,leon,979-260-2942,NA,903-536-2110,NA,NA,Mon/Wed | 8:30-5:30  Lunch 12:30-1:30,NA,31.46472,-96.057823,NO
7706,u t m b- crockett wic,bccekmortttu,400 Alabama Street,004aaaablm,crockett,tx,75835,houston,936-544-3002,NA,936-544-8643,JSNeal@UTMB.edu,https://www.utmbhealth.com/services/rmchp/,Mon  |  8:00-7:00  &&  Tue | 8:00-5:00  Lunch 12:00-1:00  &&  Wed| 8:00-5:00  && Thu | 8:00-5:00 Lunch 12:00-1:00 && Fri  |  8:00-3:00,https://texaswic.org/about-wic/live-chat-with-wic?la=077,31.3020804,-95.4592434,NO
13101,fairfield wic,afir,"Brookshire Brothers Parking Lot, 300 West Hwy 84",00348eeghhiilnoorrsstt,fairfield,tx,75840,freestone,903-388-9490,NA,--,Wictx@Spcaa.Org,https://www.spcaawic.org/,2nd Tue | 9:30-5:15  Lunch 12:30-1:30,https://texaswic.org/about-wic/live-chat-with-wic?la=130-131,31.726578,-96.165163,NO
7712,utmb groveton wic,bmnottu,219 W Front,129fnort,groveton,tx,75845,trinity,936-544-3002,NA,NA,JSNeal@UTMB.edu,https://www.utmbhealth.com/services/rmchp/,1st Thur  |  9:00-3:30  Lunch  12:00-1:00,https://texaswic.org/about-wic/live-chat-with-wic?la=077,31.054128,-95.126927,NO
5801,lufkin wic clinic,fiklnu,205 Shands Dr,025hss,lufkin,tx,75904,angelina,936-637-7242,NA,936-633-0610,Emalloy@Acchd.Us,https://www.acchd.us/,Mon/Tue/Wed/Thu| 7:30-6:30  &&  Fri | 7:30-4:30,NA,31.33758,-94.74913,NO
3912,alto wic clinic,alot,123 Busy Bee St,123bbeesuy,alto,tx,75925,cherokee,936-589-0734,NA,--,NA,NA,1st Wed/3rd Wed | 9:30-4:30  &&  Cell Number Available During Business Hours | 903-574-9897,https://texaswic.org/about-wic/live-chat-with-wic?la=039,31.6503805,-95.073954,NO
6110,kirbyville wic clinic,beiikllrvy,204 MLK Ave,024klm,kirbyville,tx,75956,newton,409-509-0315,NA,409-994-4086,wic6100@jaspernewton.org,https://www.jaspernewton.org/,Wed/Thu | 7:30-4:00 Lunch 12:00-12:30,NA,30.658954,-93.892104,NO
7705,u t m b- center wic,bmtu,105 Foster Street,015for,center,tx,75935,shelby,936-598-5021,NA,936-591-0664,JSNeal@UTMB.edu,https://www.utmbhealth.com/services/rmchp/,Mon  |  9:00-6:00  &&  Tue/Wed/Thu  | 8:00-5:00  &&  Fri  |  8:00-3:00,https://texaswic.org/about-wic/live-chat-with-wic?la=077,31.80423,-94.18728,NO
5802,diboll wic clinic - special procedures -,abccddeeeiillloopprrssu,"For Assistance Call 936-637-7242, 201 N Temple",0122233466779aaacceeefillmnorsst,diboll,tx,75941,angelina,936-829-4666,NA,936-633-0610,Emalloy@Acchd.Us,https://www.acchd.us/,For Assistance Call 936-637-7242,NA,31.18504,-94.78207,NO
7710,u t m b- woodville wic,bdeillmootuvw,302 North Magnolia,023aagilmno,woodville,tx,75979,tyler,409-283-2667,NA,409-283-5764,JSNeal@UTMB.edu,https://www.utmbhealth.com/services/rmchp/,Mon | 9:00-6:00 Lunch 12:00-1:00 && Tue | 9:00-6:00 Lunch 12:30-1:00  && Wed | 8:00-5:00 Lunch 12:30-1:00  &&  Thu | 8:00-5:00 Lunch 12:30-1:00 &&  Fri  |  8:00-3:00  && Lunch 12:30-1:00,https://texaswic.org/about-wic/live-chat-with-wic?la=077,30.77752,-94.4144,NO
5803,huntington wic clinic - special procedures -,accdeeeghiilnnnoopprrssttuu,"Huntington Civic Center, 1179 N Us Highway 69",116799ccghiiinnnosttuuv,huntington,tx,75949,angelina,936-637-7242,NA,936-633-0610,Emalloy@Acchd.Us,https://www.acchd.us/,For Assistance Call 936-637-7242,NA,31.2835555,-94.5948256,NO
6102,jasper-newton county public health,aabcceeehhijllnnnoopprstttuuwy,139 West Lamar,139aalmr,jasper,tx,75951,jasper,409-384-3868,NA,409-384-4521,wic6100@jaspernewton.org,https://www.jaspernewton.org/,Mon/Tue/Wed/Thu | 7:00-4:30  Lunch 12:00-12:30,NA,30.92167,-94.00111,NO
7704,u t m b- nacogdoches wic,abccdeghmnoostu,2016 N Stallings Dr,0126agillns,nacogdoches,tx,75964,nacogdoches,936-560-2944,NA,936-564-4886,JSNeal@UTMB.edu,https://www.utmbhealth.com/services/rmchp/,Mon/Tue  |  8:00-6:00  &&  Wed/Thu  |  8:00-5:00  &&  Fri  |  8:00-3:00  &&  2Nd Sat  |  8:00-12:00,https://texaswic.org/about-wic/live-chat-with-wic?la=077,31.6522149,-94.6679319,NO
