siteid,name,address,city,zip,COUNTY,date_close,sample_date,phone,email,BY_SITEID,BY_ADDRESS,BY_NAME,date_open,street_address,state,zipcode,county_name,by_id,by_name,by_addr,match_found,flag_missing_date,fixed_date_open,bad_zipcode,_merge
132,roving mobile unit,2800 webberville rd,Austin,78702,,,2024,512-972-4942,WICMobileUnit@austintexas.gov,0,1,0,1993-01-01,2800 Webberville Rd,tx,78702,travis,FALSE,FALSE,TRUE,TRUE,FALSE,1993-01-01,FALSE,Matched (3)
301,san benito,1390 w expressway 83,San Benito,78586,,,2024,888-942-4847,Wic.Clinics@Co.Cameron.Tx.Us,1,0,0,1993-01-01,1390 W. Expressway 83,tx,78586,cameron,TRUE,TRUE,TRUE,TRUE,FALSE,1993-01-01,FALSE,Matched (3)
302,lucio,1204 jose colunga jr st,Brownsville,78521,,,2024,888-942-4847,Wic.Clinics@Co.Cameron.Tx.Us,1,0,0,1993-01-01,1204 Jose Colunga Jr. Street,tx,78521,cameron,TRUE,TRUE,TRUE,TRUE,FALSE,1993-01-01,FALSE,Matched (3)
303,harlingen,711 n l st,Harlingen,78550,,,2024,888-942-4847,Wic.Clinics@Co.Cameron.Tx.Us,1,0,0,1993-01-01,711 North L Street,tx,78550,cameron,TRUE,TRUE,TRUE,TRUE,FALSE,1993-01-01,FALSE,Matched (3)
304,port isabel,142 champion ave,Port Isabel,78578,,,2024,888-942-4847,Wic.Clinics@Co.Cameron.Tx.Us,1,0,0,1993-01-01,142 Champion Ave,tx,78578,cameron,TRUE,TRUE,TRUE,TRUE,FALSE,1993-01-01,FALSE,Matched (3)
306,garden plaza,1225 n expressway ste 2d,Brownsville,78520,,,2024,888-942-4847,Wic.Clinics@Co.Cameron.Tx.Us,1,0,0,1993-02-01,"1225 North Expressway, Suite 2D",tx,78520,cameron,TRUE,TRUE,TRUE,TRUE,TRUE,1993-02-01,FALSE,Matched (3)
310,fruity,4430 e 14th st ste c,Brownsville,78521,,,2024,888-942-4847,Wic.Clinics@Co.Cameron.Tx.Us,1,0,0,1999-03-08,"4430 East 14th Street, Suite C",tx,78521,cameron,TRUE,TRUE,TRUE,TRUE,FALSE,1999-03-08,FALSE,Matched (3)
311,los fresnos,111 n arroyo blvd,Los Fresnos,78566,,,2024,888-942-4847,Wic.Clinics@Co.Cameron.Tx.Us,1,0,0,1993-01-01,111 North Arroyo Blvd,tx,78566,cameron,TRUE,TRUE,TRUE,TRUE,FALSE,1993-01-01,FALSE,Matched (3)
312,browne,9901 california rd,Brownsville,78521,,,2024,888-942-4847,Wic.Clinics@Co.Cameron.Tx.Us,1,0,0,2006-11-01,9901 California Rd.,tx,78521,cameron,TRUE,TRUE,TRUE,TRUE,FALSE,2006-11-01,FALSE,Matched (3)
314,la paloma,35005 leal rd,San Benito,78586,,,2024,888-942-4847,Wic.Clinics@Co.Cameron.Tx.Us,1,0,0,1993-01-01,35005 Leal Rd,tx,78586,cameron,TRUE,FALSE,TRUE,TRUE,FALSE,1993-01-01,FALSE,Matched (3)
315,rio hondo,125 colorado ave,Rio Hondo,78583,,,2024,888-942-4847,Wic.Clinics@Co.Cameron.Tx.Us,1,0,0,1997-12-01,125 Colorado Ave,tx,78583,cameron,TRUE,TRUE,FALSE,TRUE,FALSE,1997-12-01,FALSE,Matched (3)
321,cameron park,2102 aveenida gregory,Brownsville,78526,,,2024,888-942-4847,Wic.Clinics@Co.Cameron.Tx.Us,1,0,0,1993-01-01,2102 Avenida Gregory,tx,78526,cameron,TRUE,TRUE,FALSE,TRUE,FALSE,1993-01-01,FALSE,Matched (3)
332,santa rosa,116 santa vista ave,Santa Rosa,78593,,,2024,888-942-4847,Wic.Clinics@Co.Cameron.Tx.Us,1,0,0,1993-01-01,116 Santa Vista Ave.,tx,78593,cameron,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,Matched (3)
401,sua familiar inc,131 fm 3168,Raymondville,78580,,,2024,956-689-2425,,1,0,0,1993-01-01,131 Fm 3168,tx,78580,willacy,TRUE,TRUE,TRUE,TRUE,FALSE,1993-01-01,FALSE,Matched (3)
403,lasara community resource center,706 e 6th st,Lasara,78561,,,2024,956-689-2425,,1,0,0,1993-01-01,706 East 6Th Street,tx,78561,hidalgo,TRUE,TRUE,TRUE,TRUE,FALSE,1993-01-01,FALSE,Matched (3)
501,"dch at driscoll health center temporarily closed""",414 n matiana ortiz blvd,Robstown,78380,,,2024,361-767-7777,,1,0,0,1993-01-01,"Please contact 361-242-2458 for assistance, 414 N Matiana Ortiz Blvd",tx,78380,nueces,TRUE,FALSE,FALSE,TRUE,FALSE,1993-01-01,FALSE,Matched (3)
502,bishop community center,102 w joyce st,Bishop,78343,,,2024,361-537-1867,,1,0,0,1993-01-01,102 West Joyce St,tx,78343,nueces,TRUE,FALSE,FALSE,TRUE,FALSE,1993-01-01,FALSE,Matched (3)
503,banquete l and m superette,4359 4th st,Banquette,78339,,,2024,361-537-1867,,1,0,0,1993-01-01,4359 4th Street,tx,78339,nueces,TRUE,TRUE,FALSE,TRUE,FALSE,1993-01-01,FALSE,Matched (3)
504,agua dulce nueces county,1513 2nd st,Aqua Dulce,78330,,,2024,361-537-1867,,1,0,0,1993-01-01,1513 2nd Street,tx,78330,nueces,TRUE,TRUE,FALSE,TRUE,FALSE,1993-01-01,FALSE,Matched (3)
505,annaville hilltop community center,11425 leopard st,Corpus Christi,78410,,,2024,361-242-2458,,1,0,0,1993-01-01,11425 Leopard Street,tx,78410,nueces,TRUE,TRUE,TRUE,TRUE,FALSE,1993-01-01,FALSE,Matched (3)
508,dhc of corpus christi,4141 s staples,Corpus Christi,78411,,,2024,361-694-6767,,1,0,0,1993-10-01,4141 South Staples,tx,78411,nueces,TRUE,FALSE,FALSE,TRUE,FALSE,1993-10-01,FALSE,Matched (3)
701,martin luther king jr,2922 b mlk jr blvd,Dallas,75215,,,2024,214-670-7200,Askwic@Dallascityhall.Com,1,0,0,1993-01-01,2922-B MLK Jr Blvd,tx,75215,dallas,TRUE,FALSE,FALSE,TRUE,FALSE,1993-01-01,FALSE,Matched (3)
703,westmoreland,1050 n westmoreland ste 316,Dallas,75211,,,2024,214-670-7200,Askwic@Dallascityhall.Com,1,0,0,1993-01-01,1050 North Westmoreland Suite 316,tx,75211,dallas,TRUE,FALSE,TRUE,TRUE,FALSE,1993-01-01,FALSE,Matched (3)
705,lake june,6925 lake june rd,Dallas,75217,,,2024,214-670-7200,Askwic@Dallascityhall.Com,1,0,0,1993-01-01,6925 Lake June Road,tx,75217,dallas,TRUE,FALSE,TRUE,TRUE,FALSE,1993-01-01,FALSE,Matched (3)
708,grand prairie,828 s carrier pkwy ste 100,Grand Prairie,75051,,,2024,214-670-7200,Askwic@Dallascityhall.Com,1,0,0,1993-01-01,828 S Carrier Parkway Suite 100,tx,75051,dallas,TRUE,FALSE,FALSE,TRUE,FALSE,1993-01-01,FALSE,Matched (3)
709,irving,1111 w airport freeway suit 237,Irving,75062,,,2024,214-670-7200,Askwic@Dallascityhall.Com,1,0,0,1993-10-01,1111 West Airport Freeway Suit 237,tx,75062,dallas,TRUE,FALSE,FALSE,TRUE,FALSE,1993-10-01,FALSE,Matched (3)
710,highland hills,3624 simpson stuart rd,Dallas,75241,,,2024,214-670-7200,Askwic@Dallascityhall.Com,1,0,0,1993-01-01,3624 Simpson Stuart Rd,tx,75241,dallas,FALSE,FALSE,FALSE,FALSE,FALSE,1993-01-01,TRUE,Matched (3)
711,east garland,2851 dairy rd,Garland,75041,,,2024,214-670-7200,Askwic@Dallascityhall.Com,1,0,0,1993-01-01,2851 Dairy Rd,tx,75041,dallas,FALSE,FALSE,FALSE,FALSE,FALSE,1993-01-01,TRUE,Matched (3)
717,north west dallas,3207 w northwest hwy,Dallas,75220,,,2024,214-670-7200,Askwic@Dallascityhall.Com,1,0,0,1993-01-01,3207 W Northwest Hwy,tx,75220,dallas,TRUE,FALSE,FALSE,TRUE,FALSE,1993-01-01,FALSE,Matched (3)
724,north dallas,8202 spring valley rd 100,Dallas,75240,,,2024,214-670-7200,Askwic@Dallascityhall.Com,1,0,0,1993-01-01,8202 Spring Valley Rd # 100,tx,75240,dallas,FALSE,FALSE,FALSE,FALSE,FALSE,1993-01-01,TRUE,Matched (3)
725,ledbetter,1111 w ledbetter st ste 600,Dallas,75224,,,2024,214-670-7200,Askwic@Dallascityhall.Com,1,0,0,1993-12-12,1111 W Ledbetter St Suite 600,tx,75224,dallas,TRUE,FALSE,TRUE,TRUE,FALSE,1993-12-12,FALSE,Matched (3)
726,buckner john west,3302 n buckner ste 130,Dallas,75228,,,2024,214-670-7200,Askwic@Dallascityhall.Com,1,0,0,1994-07-01,3302 North Buckner Suite 130,tx,75228,dallas,TRUE,FALSE,TRUE,TRUE,FALSE,1994-07-01,FALSE,Matched (3)
730,duncanville,1110 s sante fe trail ste,Duncanville,75137,,,2024,214-670-7200,Askwic@Dallascityhall.Com,1,0,0,1995-09-01,1110 South Sante Fe Trail Ste,tx,75137,dallas,TRUE,TRUE,FALSE,TRUE,FALSE,1995-09-01,FALSE,Matched (3)
732,west garland,618 clara barton ste 102,Garland,75042,,,2024,214-670-7200,Askwic@Dallascityhall.Com,1,0,0,1996-01-10,"618 Clara Barton, Suite 102",tx,75042,dallas,TRUE,TRUE,FALSE,TRUE,FALSE,1996-01-10,FALSE,Matched (3)
737,abrams road,6012 abrams rd ste 150,Dallas,75231,,,2024,214-670-7200,Askwic@Dallascityhall.Com,1,0,0,2003-08-27,6012 Abrams Rd Ste 150,tx,75231,dallas,TRUE,FALSE,FALSE,TRUE,FALSE,2003-08-27,FALSE,Matched (3)
742,fruitdale,4408 vandervort dr,Dallas,75216,,,2024,214-670-7200,Askwic@Dallascityhall.Com,0,0,0,.-.-.,4408 Vandervort Dr,tx,75216,dallas,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,Matched (3)
743,healing hands ministries,5750 pineland dr ste #326,Dallas,75231,,,2024,214-670-7200,askWIC@Dallas.gov,0,0,0,.-.-.,"5750 Pineland Dr, Suite #326",tx,75231,dallas,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,Matched (3)
1001,grayson county health department,515 n walnut,Sherman,75090,,,2024,903-893-0131,,1,0,0,1993-01-01,515 North Walnut,tx,75090,grayson,TRUE,FALSE,TRUE,TRUE,FALSE,1993-01-01,FALSE,Matched (3)
1002,denison,205 n houston,Denison,75020,,,2024,903-465-2878,,1,0,0,1993-01-01,205 N Houston,tx,75020,grayson,TRUE,TRUE,TRUE,TRUE,FALSE,1993-01-01,FALSE,Matched (3)
1003,grayson mobile,515 n walnut st,Sherman,75090,,,2024,903-818-5511,,0,0,0,.-.-.,515 N Walnut St,tx,75090,grayson,FALSE,FALSE,TRUE,TRUE,FALSE,1993-01-01,FALSE,Matched (3)
1101,texas city,9850 emmett f lowry expressway ste b 101,Texas City,77591,,,2024,409-949-3471,Trice@Gchd.Org,1,0,0,1993-01-01,"9850 Emmett F Lowry Expressway, Suite B 101",tx,77591,galveston,FALSE,FALSE,FALSE,FALSE,FALSE,1993-01-01,TRUE,Matched (3)
1102,island community health center,4700 broadway st,Galveston,77550,,,2024,409-763-7207,Trice@Gchd.Org,1,0,0,1993-01-01,4700 Broadway St,tx,77550,galveston,FALSE,FALSE,FALSE,FALSE,FALSE,1993-01-01,TRUE,Matched (3)
1104,dickinson,"2401 termini st ste 100-b , amegy bank 1st floor",Dickinson,77539,,,2024,281-337-7606,Trice@Gchd.Org,1,0,0,1993-03-19,"2401 Termini St, Suite 100-B , Amegy Bank 1St Floor",tx,77539,galveston,TRUE,TRUE,FALSE,TRUE,FALSE,1993-03-19,FALSE,Matched (3)
1112,moody early childhood center,1110 21st st,Galveston,77550,,,2024,409-978-4482,Trice@Gchd.Org,0,0,0,.-.-.,1110 21st St,tx,77550,galveston,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,Matched (3)
1201,edinburg health center,3105 e richardson,Edinburg,78539,,,2024,956-380-0363,,1,0,0,1993-01-01,3105 East Richardson,tx,78539,hidalgo,TRUE,FALSE,TRUE,TRUE,FALSE,1993-01-01,FALSE,Matched (3)
1202,mission health,211 s schuerbach rd po b,Mission,78572,,,2024,956-581-2723,,1,0,0,1993-01-01,211 South Schuerbach Road Po B,tx,78572,hidalgo,TRUE,FALSE,FALSE,TRUE,FALSE,1993-01-01,FALSE,Matched (3)
1204,pharr health center,1903 n knights dr,Pharr,78577,,,2024,956-783-1151,,1,0,0,1993-01-01,1903 N Knights Dr,tx,78577,hidalgo,TRUE,FALSE,FALSE,TRUE,FALSE,1993-01-01,FALSE,Matched (3)
1205,hidalgo health center,702 e ramon ayala dr,Hidalgo,78557,,,2024,956-843-8151,,1,0,0,1993-01-01,702 East Ramon Ayala Dr,tx,78557,hidalgo,TRUE,FALSE,FALSE,TRUE,FALSE,1993-01-01,FALSE,Matched (3)
1206,donna,301 s 8th st,Donna,78537,,,2024,956-464-2251,,1,0,0,1993-01-01,301 South 8Th Street,tx,78537,hidalgo,TRUE,TRUE,TRUE,TRUE,FALSE,1993-01-01,FALSE,Matched (3)
1207,weslaco health center,1901 n bridge,Weslaco,78596,,,2024,956-968-0594,,1,0,0,1993-01-01,1901 North Bridge,tx,78596,hidalgo,TRUE,FALSE,TRUE,TRUE,FALSE,1993-01-01,FALSE,Matched (3)
1208,mercedes,540 s texas,Mercedes,78570,,,2024,956-565-2603,,1,0,0,1993-01-01,540 South Texas,tx,78570,hidalgo,TRUE,TRUE,TRUE,TRUE,FALSE,1993-01-01,FALSE,Matched (3)
1209,elsa health center,708 e edinburg st,Elsa,78543,,,2024,956-262-1324,,1,0,0,1993-01-01,708 East Edinburg Street,tx,78543,hidalgo,TRUE,FALSE,FALSE,TRUE,FALSE,1993-01-01,FALSE,Matched (3)
1212,progreso,510 n fm 1015,Progreso,78579,,,2024,956-514-0236,,1,0,0,1993-01-01,510 North Fm. 1015,tx,78579,hidalgo,TRUE,TRUE,FALSE,TRUE,FALSE,1993-01-01,FALSE,Matched (3)
1214,alton i,3513 e main ave ste 104,Alton,78573,,,2024,956-519-7159,,1,0,0,1993-01-01,3513 E Main Ave  Suite 104,tx,78573,hidalgo,TRUE,FALSE,FALSE,TRUE,FALSE,1993-01-01,FALSE,Matched (3)
1215,alamo i,313 e business hwy 83 ste 113,Alamo,78516,,,2024,956-783-5369,,1,0,0,1993-01-01,313 E Business Highway 83 Suite 113,tx,78516,hidalgo,TRUE,FALSE,TRUE,TRUE,FALSE,1993-01-01,FALSE,Matched (3)
1216,sullivan city health center,371 e expressway 83,Sullivan City,78595,,,2024,956-485-2752,,1,0,0,1993-01-01,371 East Expressway 83,tx,78595,hidalgo,TRUE,FALSE,TRUE,TRUE,FALSE,1993-01-01,FALSE,Matched (3)
1217,mission ii,722 n breyfogle rd ste 2 c,Mission,78572,,,2024,956-584-3334,,1,0,0,1994-05-01,722 North Breyfogle Road Suite 2-C,tx,78572,hidalgo,TRUE,TRUE,TRUE,TRUE,FALSE,1993-01-01,FALSE,Matched (3)
1218,mcallen ii,220 s bicentennial ste d,Mcallen,78501,,,2024,956-292-7752,,1,0,0,1995-04-01,220 S Bicentennial  Suite D,tx,78501,hidalgo,TRUE,TRUE,TRUE,TRUE,FALSE,1993-01-01,FALSE,Matched (3)
1224,pharr ii,300 w hall acres rd ste a,Pharr,78577,,,2024,956-781-4920,,1,0,0,1999-01-19,300 W Hall Acres Rd Ste A,tx,78577,hidalgo,TRUE,TRUE,FALSE,TRUE,FALSE,1993-01-01,FALSE,Matched (3)
1226,san carlos community resource center,230 n 86 st,Edinburg,78539,,,2024,956-318-1476,,1,0,0,2002-01-02,230 North 86 Street,tx,78539,hidalgo,TRUE,TRUE,TRUE,TRUE,FALSE,2002-01-02,FALSE,Matched (3)
1228,mobile unidos podemos,3105 w university dr,Edinburg,78539,,,2024,956-279-7850,,1,0,0,2002-06-01,3105 West University Dr,tx,78539,hidalgo,TRUE,TRUE,TRUE,TRUE,FALSE,1996-07-22,FALSE,Matched (3)
1229,north san juan,509 e earling rd,San Juan,78589,,,2024,956-702-7788,,1,0,0,2002-10-17,509 East Earling Rd,tx,78589,hidalgo,TRUE,TRUE,TRUE,TRUE,FALSE,2002-10-17,FALSE,Matched (3)
1230,mcallen 3,3001 n 23rd ste 8,Mcallen,78502,,,2024,956-683-1822,,1,0,0,2003-11-04,3001 North 23Rd Suite 8,tx,78502,hidalgo,FALSE,FALSE,FALSE,FALSE,FALSE,2003-11-04,TRUE,Matched (3)
1231,alton 2,3503 w 5 mile rd ste 5 6 & 7,Mission,78574,,,2024,956-583-5791,,1,0,0,2004-07-01,"3503 W 5 Mile Rd Ste 5, 6 & 7",tx,78574,hidalgo,TRUE,TRUE,FALSE,TRUE,FALSE,2004-07-01,FALSE,Matched (3)
1243,rio grande city,5404 brand st ste 5,Rio Grande City,78582,,,2024,956-488-0500,,1,0,0,2007-09-04,5404 Brand Street Ste 5,tx,78582,starr,TRUE,FALSE,FALSE,TRUE,FALSE,2007-09-04,FALSE,Matched (3)
1244,roma,2891 e grant st,Roma,78584,,,2024,956-849-1459,,1,0,0,2007-09-04,2891 E Grant Street,tx,78584,starr,TRUE,TRUE,FALSE,TRUE,FALSE,2007-09-04,FALSE,Matched (3)
1245,alamo 2,1429 s tower rd,Alamo,78516,,,2024,956-784-3523,,1,0,0,2009-02-02,1429 South Tower Road,tx,78516,hidalgo,TRUE,TRUE,TRUE,TRUE,FALSE,2009-02-02,FALSE,Matched (3)
1301,ladrillera health promotion center,2100 pinder,Laredo,78040,,,2024,956-795-2487,,1,0,0,1993-01-01,2100 Pinder,tx,78040,webb,TRUE,TRUE,TRUE,TRUE,FALSE,1993-01-01,FALSE,Matched (3)
1302,santo nino,2201 saltillo st,Laredo,78046,,,2024,956-795-2488,,1,0,0,1993-01-01,2201 Saltillo St,tx,78046,webb,TRUE,FALSE,FALSE,TRUE,FALSE,1993-01-01,FALSE,Matched (3)
1303,cedar health promotion center,2600 cedar ave,Laredo,78041,,,2024,956-795-4943,,1,0,0,1993-01-01,2600 Cedar Avenue,tx,78041,webb,TRUE,TRUE,TRUE,TRUE,FALSE,1993-01-01,FALSE,Matched (3)
1305,farias health promotion center,1210 philadelhphia room 105,Laredo,78042,,,2024,956-795-2482,,1,0,0,1993-01-01,1210 Philadelhphia Room 105,tx,78042,webb,TRUE,TRUE,FALSE,TRUE,FALSE,1993-01-01,FALSE,Matched (3)
1307,larga vista health prmotion center,5401 cisneros,Laredo,78043,,,2024,956-717-3538,,1,0,0,1995-05-15,5401 Cisneros,tx,78043,webb,TRUE,FALSE,TRUE,TRUE,FALSE,1995-05-15,FALSE,Matched (3)
1310,northwest,10224 atlanta dr,Laredo,78045,,,2024,956-712-4015,,1,0,0,2001-07-16,10224 Atlanta Drive,tx,78045,webb,FALSE,FALSE,FALSE,FALSE,FALSE,2001-07-16,TRUE,Matched (3)
1311,lmc,1700 e saunders ste 455,Laredo,78041,,,2024,956-727-9253,,1,0,0,2006-09-01,1700 East Saunders Suite 455,tx,78041,webb,TRUE,FALSE,TRUE,TRUE,FALSE,2006-09-01,FALSE,Matched (3)
1312,hebbronville,517 w viggie,Hebbronville,78361,,,2024,361-527-9135,,1,0,0,1993-01-01,517 West Viggie,tx,78361,jim hogg,TRUE,TRUE,TRUE,TRUE,FALSE,1993-01-01,FALSE,Matched (3)
1313,zapata,101 1st st,Zapata,78076,,,2024,956-765-8442,,1,0,0,2007-09-04,101 1St Street,tx,78076,zapata,TRUE,TRUE,TRUE,TRUE,FALSE,2007-09-04,FALSE,Matched (3)
1318,alice,2041 e main st ste 500,Alice,78332,,,2024,361-453-4033,,0,0,0,.-.-.,"2041 E Main St, Suite 500",tx,78332,jim wells,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,Matched (3)
1319,live oak co,305 bowie st,George West,78022,,,2024,(361) 449-2733,,0,0,1,1993-01-01,305 Bowie St.,tx,78022,live oak,FALSE,TRUE,FALSE,TRUE,FALSE,1993-01-01,FALSE,Matched (3)
1320,kingsville,1403 e corral,Kingsville,78363,,,2024,(361) 592-2022,,0,0,0,.-.-.,1403 E Corral,tx,78363,kleberg,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,Matched (3)
1322,falfurrias,125 e miller,Falfurrias,78355,,,2024,(361) 325-2600,,0,0,0,.-.-.,125 E Miller,tx,78355,brooks,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,Matched (3)
1702,power center,12401 1 2 so post oak rd # 128,Houston,77045,,,2024,713-500-2800,Wicpowercenter@Uth.Tmc.Edu,1,0,0,1993-01-01,12401 1/2 So Post Oak Rd # 128,tx,77045,harris,TRUE,TRUE,FALSE,TRUE,FALSE,1993-01-01,FALSE,Matched (3)
1706,spring branch,8575 pitner,Houston,77080,,,2024,713-500-2800,Wicsbranchclinic@Uth.Tmc.Edu,1,0,0,1993-01-01,8575 Pitner,tx,77080,harris,TRUE,TRUE,TRUE,TRUE,FALSE,1993-01-01,FALSE,Matched (3)
1708,gulfgate,3329 telephone rd ste b,Houston,77023,,,2024,713-500-2800,wicgulfgateclinic@uth.tmc.edu,1,0,0,1996-08-14,"3329 Telephone Rd , Suite B",tx,77023,harris,FALSE,FALSE,FALSE,FALSE,FALSE,1996-08-14,TRUE,Matched (3)
1715,north channel,13457 e freeway,Houston,77015,,,2024,713-500-2800,Wicnchannelclinic@Uth.Tmc.Edu,1,0,0,1996-08-15,13457 East Freeway,tx,77015,harris,TRUE,TRUE,TRUE,TRUE,FALSE,1996-08-15,FALSE,Matched (3)
1716,university,6015 hillcroft ste 2000,Houston,77081,,,2024,713-500-2800,Wicuniversityclinic@Uth.Tmc.Edu,1,0,0,1996-10-14,6015 Hillcroft Suite 2000,tx,77081,harris,TRUE,TRUE,TRUE,TRUE,FALSE,1996-10-14,FALSE,Matched (3)
1718,ut greenspoint,11120 n freeway ste b,Houston,77037,,,2024,713-500-2800,Wicgreenspoint@Uth.Tmc.Edu,1,0,0,1997-03-12,11120 North Freeway Ste B,tx,77037,harris,FALSE,FALSE,FALSE,FALSE,FALSE,1997-03-12,TRUE,Matched (3)
1901,vida y salud health systems inc,308 cesar chavez ave,Crystal City,78839,,,2024,830-374-2417,,1,0,0,1993-01-28,308 Cesar Chavez Avenue,tx,78839,zavala,TRUE,TRUE,TRUE,TRUE,FALSE,1993-01-28,FALSE,Matched (3)
1902,vida y salud health systems inc,109 b 1st st,Carrizo Springs,78834,,,2024,830-876-9755,,1,0,0,1993-01-01,109-B 1St Street,tx,78834,dimmit,TRUE,TRUE,FALSE,TRUE,FALSE,1993-01-01,FALSE,Matched (3)
1903,vida y salud health systems inc,916 huddleston,Cotulla,78014,,,2024,830-876-9755,,1,0,0,1993-01-01,916 Huddleston,tx,78014,la salle,TRUE,TRUE,FALSE,TRUE,FALSE,1993-01-01,FALSE,Matched (3)
1904,vida y salud health systems inc,400 s getty st ste c,Uvalde,78801,,,2024,830-278-3117,,1,0,0,1993-01-01,400 S Getty St Suite C,tx,78801,uvalde,TRUE,TRUE,TRUE,TRUE,FALSE,1993-01-01,FALSE,Matched (3)
1911,la pryor,117 e hwy 57 po box 640,La Pryor,78872,,,2024,830-374-2417,,1,0,0,1993-01-01,117 E Hwy 57 Po Box 640,tx,78872,zavala,TRUE,TRUE,FALSE,TRUE,FALSE,1993-01-01,FALSE,Matched (3)
2001,plainview,2801 w 8th,Plainview,79072,,,2024,806-293-0182,,1,0,0,1993-01-01,2801 West 8Th,tx,79072,hale,TRUE,TRUE,FALSE,TRUE,FALSE,1993-01-01,FALSE,Matched (3)
2002,floydada,319 s main,Floydada,79235,,,2024,806-983-3449,,1,0,0,1993-01-01,319 S Main,tx,79235,floyd,TRUE,TRUE,FALSE,TRUE,FALSE,1993-01-01,FALSE,Matched (3)
2003,littlefield,500 e 6th,Littlefield,79339,,,2024,806-385-5368,,1,0,0,1993-01-01,500 East 6Th,tx,79339,lamb,TRUE,TRUE,TRUE,TRUE,FALSE,1993-01-01,FALSE,Matched (3)
2004,ralls program,623 tilford po box 1106,Ralls,79357,,,2024,806-253-2577,,1,0,0,1993-01-01,623 Tilford Po Box 1106,tx,79357,crosby,TRUE,TRUE,FALSE,TRUE,FALSE,1993-01-01,FALSE,Matched (3)
2005,dimmitt,113 w bedford st po box,Dimmitt,79027,,,2024,806-647-4240,,1,0,0,1993-01-01,113 West Bedford Street Po Box,tx,79027,castro,TRUE,TRUE,FALSE,TRUE,FALSE,1993-01-01,FALSE,Matched (3)
2006,hereford,125 w park ave,Hereford,79045,,,2024,806-364-7692,,1,0,0,1993-01-01,125 W Park Ave,tx,79045,deaf smith,TRUE,TRUE,FALSE,TRUE,FALSE,1993-01-01,FALSE,Matched (3)
